Product Name,Rating,Customers_Rated,Price,Category
"Charmin Ultra Soft Cushiony Touch Toilet Paper, 18 Family Mega Rolls = 90 Regular Rolls",4.8 out of 5 stars,"35,668",$28.82,Health and Household
"Anker 20W USB C Power Strip, 321 Power Strip with 3 Outlets and USB C Charging for iPhone 14/13 Series, 5 ft Extension Cord, ",4.5 out of 5 stars,856,$15.99,Electronics
"Quilted Northern Ultra Plush Toilet Paper, 18 Mega Rolls = 72 Regular Rolls, 3-Ply Bath Tissue, 18 Count (Pack of 1)",4.8 out of 5 stars,"34,543",$16.49,Health and Household
unknown-product,4.6 out of 5 stars,"2,042",,Electronics
"Apple AirPods (3rd Generation) Wireless Earbuds with Lightning Charging Case. Spatial Audio, Sweat and Water Resistant, Up to",4.6 out of 5 stars,"37,073",$181.36,Electronics
TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earph,4.4 out of 5 stars,"231,640",$26.99,Electronics
"Pacific Blue Select Multifold Premium 2-Ply Paper Towels by GP PRO (Georgia-Pacific), White, 21000, 125 Paper Towels Per Pack",4.7 out of 5 stars,"21,468",$35.30,Health and Household
"Quest Nutrition Chocolate Chip Cookie Dough Protein Bars, High Protein, Low Carb, Gluten Free, Keto Friendly, 12 Count",4.4 out of 5 stars,"15,702",$19.00,Health and Household
Wireless Earbuds occiam Bluetooth Headphones 48H Play Back Earphones in Ear Waterproof with Microphone LED Display for Sports,4.3 out of 5 stars,"41,303",$29.99,Electronics
"Alcohol Wipes | Individually Wrapped Alcohol Prep Pads with 70% Isopropyl Alcohol, Great for Medical & First Aid Kits | Steri",4.7 out of 5 stars,"19,596",$8.93,Health and Household
Santa's Story,4.6 out of 5 stars,943,$6.55,Books
"Orgain Hydrolyzed Collagen Peptides Powder, 20g Grass Fed Collagen - Hair, Skin, Nail, & Joint Support Supplement, Paleo & Ke",4.6 out of 5 stars,"27,574",$22.94,Health and Household
Amazon Basics 2 Ply Paper Towels - Flex-Sheets - 12 Value Rolls (Previously Solimo),4.2 out of 5 stars,"31,731",$19.20,Health and Household
"Power Strip, ALESTOR Surge Protector with 12 Outlets and 4 USB Ports, 6 Feet Extension Cord (1875W/15A), 2700 Joules, ETL Lis",4.8 out of 5 stars,"24,095",$16.70,Electronics
Goodnight Moon,4.9 out of 5 stars,"25,356",$5.36,Books
