Product Name,Rating,Customers_Rated,Price,Category
"Half Baked Harvest Every Day: Recipes for Balanced, Flexible, Feel-Good Meals: A Cookbook",4.8 out of 5 stars,"3,832",$18.49,Books
"Sleep Headphones Wireless, Perytong Bluetooth Sports Headband Headphones with Ultra-Thin HD Stereo Speakers Perfect for Sleep",4.3 out of 5 stars,"40,849",$19.99,Electronics
Bluetooth 5.0 Wireless Earbuds with 2000mAh Charging Case Stereo Headphones 90Hours Continuous Playback in Ear Built in Mic H,4.2 out of 5 stars,"4,766",$22.99,Electronics
Maybe Now: A Novel (Maybe Someday),4.6 out of 5 stars,"7,608",$10.79,Books
"Duracell CR2032 3V Lithium Battery, Child Safety Features, 4 Count Pack, Lithium Coin Battery for Key Fob, Car Remote, Glucos",4.7 out of 5 stars,"58,201",$6.99,Health and Household
"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",4.8 out of 5 stars,"48,937",$43.95,Electronics
Disney Minnie Mouse - I'm Ready to Read with Minnie Interactive Read-Along Sound Book - Great for Early Readers - PI Kids,4.7 out of 5 stars,Editors of Phoenix International Publications,$7.49,Books
"4-Port USB Hub 3.0, T-Sound USB Splitter for Laptop, Ps4 Keyboard and Mouse Adapter for Dell, Asus, HP, MacBook Air, Surface ",4.6 out of 5 stars,"7,347",$12.99,Electronics
The Perfect Marriage: a completely gripping psychological suspense,4.4 out of 5 stars,"48,173",$13.99,Books
Girl in Pieces,4.7 out of 5 stars,"12,428",$7.91,Books
The Jesus Storybook Bible: Every Story Whispers His Name,4.9 out of 5 stars,"12,035",$14.99,Books
"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD C",4.8 out of 5 stars,"13,428",$799.00,Electronics
The Personal Librarian,4.5 out of 5 stars,"28,677",$10.99,Books
The 5 Love Languages: The Secret to Love that Lasts,4.8 out of 5 stars,"73,211",$7.57,Books
"GE 6-Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers, UL Liste",4.8 out of 5 stars,"100,863",$14.99,Electronics
"TheraICE Rx Form Fitting Gel Ice Headache / Migraine Relief Hat, Cold Therapy Migraine Relief Cap / Migraine Ice Head Wrap Ic",4.6 out of 5 stars,"18,035",$34.95,Health and Household
"Zarbee's Kids Melatonin, Chewable Sleep Supplement to Promote Peaceful Sleep, Easy to Take Natural Grape Flavor Tablets for C",4.8 out of 5 stars,"22,405",$10.98,Health and Household
An Elephant & Piggie Biggie! (An Elephant and Piggie Book),4.9 out of 5 stars,"9,199",$7.98,Books
Fujifilm Instax Mini Instant Film Twin Pack (White),4.8 out of 5 stars,"102,200",$13.98,Electronics
"Nature Made Vitamin D3 2000 IU (50 mcg), Dietary Supplement for Bone, Teeth, Muscle and Immune Health Support, 220 Tablets, 2",4.7 out of 5 stars,"34,540",$17.73,Health and Household
"Affresh Washing Machine Cleaner, Cleans Front Load and Top Load Washers, Including HE, 6 Tablets",4.7 out of 5 stars,"185,903",$11.98,Health and Household
"Jesus Calling, Padded Hardcover, with Scripture references",4.9 out of 5 stars,"31,433",$7.53,Books
"COMSOON Bluetooth 5.0 Receiver for Car, Noise Cancelling Bluetooth AUX Adapter, Bluetooth Music Receiver for Home Stereo/Wire",4.4 out of 5 stars,"29,992",$16.99,Electronics
Bear Stays Up for Christmas (The Bear Books),4.9 out of 5 stars,"5,385",$4.99,Books
Diper Överlöde (Diary of a Wimpy Kid Book 17),4.7 out of 5 stars,"1,461",$9.00,Books
So Help Me God,4.0 out of 5 stars,10,$22.70,Books
What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions,4.8 out of 5 stars,"1,038",$18.57,Books
Gya Labs Pure Frankincense Essential Oil for Pain - 100% Natural Therapeutic Grade Frankincense Oil for Skin - Pure Frankince,4.4 out of 5 stars,"128,180",$8.99,Health and Household
"Philips Sonicare 4100 Power Toothbrush, Rechargeable Electric Toothbrush with Pressure Sensor, Black HX3681/24",4.6 out of 5 stars,"97,991",$39.99,Health and Household
Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in M,4.5 out of 5 stars,"17,309",$29.99,Electronics
"Universal Remote Control, XRT136 for VIZIO All LED LCD HD 4K UHD HDR Smart TVs",4.6 out of 5 stars,"18,549",$12.99,Electronics
"Amazon Basics 6-Outlet Surge Protector Power Strip with 2 USB Ports - 1000 Joule, Black",4.8 out of 5 stars,"8,007",$15.97,Electronics
"[2-Pack] Charger Cable for Fitbit Luxe/Charge 5, for Fitbit Luxe/Charge 5 Fitness Tracker, Replacement Charging Cable Cord Ac",4.6 out of 5 stars,"1,606",$8.84,Electronics
"Vitafusion Vitamin D3 Gummy Vitamins, 50mcg per serving, Immune System Support*, Delicious Peach and Berry Flavors, 150 ct (7",4.8 out of 5 stars,"59,775",$11.00,Health and Household
ZZD Blue Light Blocking Glasses for women/men 3Pack Computer Reading/Gaming/TV/Phones Glasses,4.6 out of 5 stars,"1,048",$9.99,Electronics
"Acer 21.5 Inch Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Computer Monitor (HDMI & VGA Port), SB220Q bi",4.7 out of 5 stars,"40,146",$99.99,Electronics
"Quest Nutrition Tortilla Style Protein Chips, Low Carb, Nacho Cheese 1.1 Ounce (Pack of 12)",4.5 out of 5 stars,"67,075",$44.90,Health and Household
Bright Baby Touch & Feel Baby Animals (Bright Baby Touch and Feel),4.8 out of 5 stars,"13,417",$4.70,Books
"Power Strip with USB C, 3 Outlets 4 USB Ports (22.5W/4.5A) Desktop Charging Station, Flat Plug, 5ft Braided Extension Cord, N",4.8 out of 5 stars,"21,608",$17.98,Electronics
"DUDE Wipes Flushable Adult Wipes - 8 Pack, 336 Wipes - Unscented Moist Wet Wipes with Vitamin-E & Aloe for at-Home Use - Sept",4.7 out of 5 stars,"6,950",$29.15,Health and Household
"Relaxing Christmas Coloring Book: An Adult Coloring Book with Beautiful Christmas Decorations, Cute Animals, and Festive Winter Designs for Stress Relief, Relaxation, and Creativity",4.6 out of 5 stars,6,$6.99,Books
Alex Tech 25ft - 1/2 inch Cord Protector Wire Loom Tubing Cable Sleeve Split Sleeving for USB Cable Power Cord Audio Video Ca,4.7 out of 5 stars,"43,763",$14.99,Electronics
"GoPro HERO11 Black - Waterproof Action Camera with 5.3K60 Ultra HD Video, 27MP Photos, 1/1.9"" Image Sensor, Live Streaming, W",4.2 out of 5 stars,65,$399.99,Electronics
Zippo Butane Fuel,4.6 out of 5 stars,"72,812",$6.00,Health and Household
Where the Wild Things Are,4.9 out of 5 stars,"32,473",$13.20,Books
Bose SoundLink around-ear wireless headphones II- White,4.6 out of 5 stars,"9,354",$229.00,Electronics
"153” Cord Hider - Cord Cover Wall - Wire Covers for Cords - Paintable Cable Concealer, cable Hider, Wire hiders for TV on Wal",4.7 out of 5 stars,"15,753",$15.97,Electronics
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet w/ Long Lasting Battery, Compact, Slim Design, Sturdy Metal Frame, U",4.6 out of 5 stars,"10,463",$109.00,Electronics
"The Choice: The Dragon Heart Legacy, Book 3 (The Dragon Heart Legacy, 3)",,Hardcover,$20.99,Books
"Finish - All in 1 - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent, 94 Count (Pack of 1) - ",4.6 out of 5 stars,"67,221",$15.22,Health and Household
"Vitafusion Women's Gummy Vitamins, Mixed Berries, 150 Count",4.7 out of 5 stars,"122,620",$13.38,Health and Household
TAGRY Bluetooth Headphones True Wireless Earbuds 60H Playback LED Power Display Earphones with Wireless Charging Case IPX5 Wa,4.5 out of 5 stars,"25,474",$34.99,Electronics
"GE 6-Outlet Power Strip, 2 Pack, 2 Ft Extension Cord, Heavy Duty Plug, Grounded, Integrated Circuit Breaker, 3-Prong, Wall Mo",4.7 out of 5 stars,"28,283",$10.59,Electronics
"Renew Life Women's Probiotics 25 Billion CFU Guaranteed, 12 Strains, Shelf Stable, Gluten Dairy & Soy Free, 30 Capsules, Ulti",4.6 out of 5 stars,"28,455",$16.98,Health and Household
"Ivy and Bean's Treasure Box: (Beginning Chapter Books, Funny Books for Kids, Kids Book Series) (Ivy + Bean)",4.8 out of 5 stars,"6,292",$11.91,Books
"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Ratin",4.4 out of 5 stars,"47,080",$74.96,Electronics
"Amazon Basics 12-Pack AAA Performance 800 mAh Rechargeable Batteries, Pre-Charged, Recharge up to 1000x",4.6 out of 5 stars,"163,062",$13.59,Health and Household
"[4 Pack] Waterproof Airtag Keychain&Leather Air Tag Holder,Supfine Protective Tracker Case with Loop Key Ring for Apple AirTa",4.6 out of 5 stars,"2,070",$10.95,Electronics
"Dymatize ISO100 Hydrolyzed Protein Powder, 100% Whey Isolate Protein, 25g of Protein, 5.5g BCAAs, Gluten Free, Fast Absorbing",4.5 out of 5 stars,"11,919",$40.99,Health and Household
"TOZO NC2 Hybrid Active Noise Cancelling Wireless Earbuds, in-Ear Detection Headphones, IPX6 Waterproof Bluetooth 5.2 Stereo E",4.3 out of 5 stars,"24,275",$39.99,Electronics
"TheraTears Dry Eye Therapy Eye Drops for Dry Eyes, 1.0 Fl Oz",4.7 out of 5 stars,"23,709",$18.46,Health and Household
unknown-product,,,$999.99,Electronics
"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Ratin",4.4 out of 5 stars,"47,080",$66.34,Electronics
"Med PRIDE NitriPride Nitrile-Vinyl Blend Exam Gloves, Large 100 - Powder Free, Latex Free & Rubber Free - Single Use Non-Ster",4.3 out of 5 stars,"25,664",$9.99,Health and Household
"Crest 3D White Toothpaste Radiant Mint, 3.8 Ounce (Pack of 3)",4.8 out of 5 stars,"53,026",$12.02,Health and Household
"Hefty Recycling Trash Bags, Blue, 13 Gallon, 60 Count",4.7 out of 5 stars,"44,366",$25.00,Health and Household
"2021 Apple MacBook Pro (14-inch, Apple M1 Pro chip with 8‑core CPU and 14‑core GPU, 16GB RAM, 512GB SSD) - Space Gray",4.8 out of 5 stars,"1,419","$1,471.99",Electronics
The Littlest Reindeer (Littlest Series),4.8 out of 5 stars,"4,261",$3.99,Books
"2020 Apple MacBook Air Laptop: Apple M1 Chip, 13” Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD C",4.8 out of 5 stars,"13,428",$894.00,Electronics
"Syntech Link Cable 16 FT Compatible with Quest2/Pico 4 Accessories and PC/Steam VR, High Speed PC Data Transfer, USB 3.0 to U",4.4 out of 5 stars,"8,576",$19.99,Electronics
Retainer Brite Tablets for Cleaner Retainers and Dental Appliances - 120 Count,4.8 out of 5 stars,"12,113",$19.99,Health and Household
"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads, blue Original, 30 Count",4.6 out of 5 stars,"63,529",$23.48,Health and Household
"Massage Gun Deep Tissue Muscle Massager Percussion Massage Gun for Athletes, Handheld Deep Tissue Massager,Black",4.7 out of 5 stars,459,$59.47,Health and Household
"Tide Laundry Detergent Liquid Soap Eco-Box, Ultra Concentrated High Efficiency (HE), Original Scent, 96 Loads",4.7 out of 5 stars,"32,658",$19.05,Health and Household
SAMSUNG TV Remote Control BN59-01199F by Samsung,4.7 out of 5 stars,"21,536",$10.99,Electronics
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.7 out of 5 stars,"96,696",$13.29,Books
"MAJESTIC PURE Frankincense Essential Oil, Therapeutic Grade, Pure and Natural Premium Quality Oil, 4 fl oz",4.6 out of 5 stars,"99,902",,Health and Household
The 48 Laws of Power,4.7 out of 5 stars,"54,819",$11.60,Books
Dove Men+Care Antiperspirant Deodorant With 48-hour sweat and odor protection Extra Fresh Antiperspirant for men formulated w,4.7 out of 5 stars,"17,890",,Health and Household
Apple AirPods Pro (Renewed),4.3 out of 5 stars,"15,428",$157.99,Electronics
"Energizer AA Batteries, Max Double A Battery Alkaline, 24 Count",4.8 out of 5 stars,"25,275",$15.35,Health and Household
"Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes, Fresh Scent, Moisture Seal Lid, 75 Count (Pack of 3)(New Packaging)",4.8 out of 5 stars,"59,866",$12.99,Health and Household
Verity,4.6 out of 5 stars,"184,522",$14.00,Books
Charlotte's Web,4.9 out of 5 stars,"22,743",$5.47,Books
Why a Daughter Needs a Dad: Celebrate Your Father Daughter Bond this Christmas with this Special Picture Book!,4.9 out of 5 stars,"13,179",$7.20,Books
"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",4.8 out of 5 stars,"7,297",$16.33,Books
"Windex Glass and Window Cleaner Spray Bottle, Bottle Made from 100% Recycled Plastic, Original Blue, 23 fl oz",4.8 out of 5 stars,"28,909",$3.00,Health and Household
"Natrol Melatonin Fast Dissolve Tablets, Helps You Fall Asleep Faster, Stay Asleep Longer, Easy to Take, Dissolve in Mouth, St",4.6 out of 5 stars,"38,717",$13.19,Health and Household
"Chromecast with Google TV (4K)- Streaming Stick Entertainment with Voice Search - Watch Movies, Shows, and Live TV in 4K HDR ",4.7 out of 5 stars,"5,319",$36.30,Electronics
I'm So Glad You Were Born: Celebrating Who You Are,4.9 out of 5 stars,933,$14.24,Books
"Forehead Thermometer, Baby and Adults Thermometer with Fever Alarm, LCD Display and Memory Function, Ideal for Whole Family (",4.6 out of 5 stars,"76,431",$19.99,Health and Household
"2022 Apple 11-inch iPad Pro (Wi-Fi, 128GB) - Silver (4th Generation)",4.1 out of 5 stars,23,$794.99,Electronics
"Glad ForceFlex Tall Kitchen Drawstring Trash Bags, 13 Gal, Fresh Clean Scent with Febreze, 110 Ct",4.7 out of 5 stars,"83,362",$21.56,Health and Household
"All-New Echo Dot (5th Gen, 2022 release) | Bigger vibrant sound in a compact smart speaker with Alexa | Charcoal",4.4 out of 5 stars,398,$49.99,Electronics
All Good People Here: A Novel,4.5 out of 5 stars,"10,842",$17.51,Books
"VELCRO Brand ONE-WRAP Cable Ties, 100Pk, 8 x 1/2"" Black Cord Organization Straps, Thin Pre-Cut Design, Wire Management for Or",4.7 out of 5 stars,"31,553",$12.14,Electronics
"A Court of Mist and Fury (A Court of Thorns and Roses, 2)",4.9 out of 5 stars,"60,163",$12.49,Books
"Amazon Fire TV 43"" 4-Series 4K UHD smart TV",4.6 out of 5 stars,"25,458",$156.39,Electronics
"Amazon Brand - Presto! Flex-a-Size Paper Towels, Huge Roll, 12 Count = 38 Regular Rolls",4.7 out of 5 stars,"83,176",$27.99,Health and Household
"Arm & Hammer Sensitive Skin Free & Clear, 107 Loads Liquid Laundry Detergent, 144.5 Fl oz",4.7 out of 5 stars,"29,828",$8.49,Health and Household
Apple Lightning to 3.5 mm Headphone Jack Adapter,4.7 out of 5 stars,"205,038",$14.51,Electronics
"2022 Newest Lenovo Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe ",4.4 out of 5 stars,"1,161",$372.99,Electronics
"Culturelle Kids Chewable Daily Probiotic for Kids - Natural Berry - Supports Immune, Digestive, and Oral Health - For Age 3+ ",4.8 out of 5 stars,"16,427",$19.47,Health and Household
"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do",4.6 out of 5 stars,"14,399",$13.06,Books
"Amazon Basics Multi-Purpose Cable Ties - 4-Inch/100mm, 200-Piece, Black",4.6 out of 5 stars,"3,432",$4.62,Electronics
The Family Across the Street: A totally unputdownable psychological thriller with a shocking twist,4.3 out of 5 stars,"13,496",$9.89,Books
"Apple AirPods Pro (2nd Generation) Wireless Earbuds with MagSafe Charging Case. Active Noise Cancelling, Personalized Spatial",4.7 out of 5 stars,"3,020",$211.59,Electronics
How to Catch a Unicorn,4.8 out of 5 stars,"32,568",$5.22,Books
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",4.8 out of 5 stars,"78,629",$4.07,Books
"Surge Protector Power Strip, 8 Wide Outlets with 4 USB Charging Ports, 3 Side Outlet Extender with 5Ft Braided Extension Cord",4.8 out of 5 stars,"16,778",$19.99,Electronics
Mad Honey: A Novel,4.5 out of 5 stars,"4,813",$14.00,Books
"NUVADERMIS Silicone Scar Sheets, Tape, Strips - USA Tested - Healing Keloid, C-Section, Tummy Tuck - As Surgical Cream, Gel, ",4.3 out of 5 stars,"13,688",$24.89,Health and Household
"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",4.8 out of 5 stars,"14,177",$9.59,Books
Pwr TV Power Cord 12Ft Cable for Samsung LG TCL Sony: 2 Prong AC Wall Plug 2-Slot LED LCD Insignia Sharp Toshiba JVC Hisense ,4.7 out of 5 stars,"18,483",$9.99,Electronics
"Life Skills for Teens: How to Cook, Clean, Manage Money, Fix Your Car, Perform First Aid, and Just About Everything in Between",4.6 out of 5 stars,"5,705",$9.99,Books
Layla,4.2 out of 5 stars,"47,966",$8.97,Books
"Conair Portable Fabric Shaver, Battery Operated Fuzz and Lint Remover, White",4.5 out of 5 stars,"106,224",$14.99,Health and Household
How to Draw Cool Stuff: A Drawing Guide for Teachers and Students,4.7 out of 5 stars,"18,979",$14.99,Books
Sports Research Triple Strength Omega 3 Fish Oil - Burpless Fish Oil Supplement w/ EPA & DHA Fatty Acids from Wild Alaskan Po,4.7 out of 5 stars,"35,603",$29.95,Health and Household
"Rechargeable Fabric Shaver, Magictec Lint Remover Sweater Defuzzer Lints Fuzzs Pills Pilling Trimmer for Clothes and Furnitur",4.5 out of 5 stars,"51,231",$13.79,Health and Household
"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black",4.7 out of 5 stars,"43,827",$348.00,Electronics
Holes (Holes Series),4.8 out of 5 stars,"20,091",$4.67,Books
"Dr. Formulated Probiotics for Women & Prebiotics, 50 Billion CFU for Women’s Daily Digestive Vaginal & Immune Health, Garden ",4.6 out of 5 stars,"43,936",$30.09,Health and Household
"Surge Protector Power Strip - 9 Widely Spaced Multi Outlets, Wall Mount, 3 Side Outlet Extender with 5Ft Extension Cord, Flat",4.7 out of 5 stars,"1,406",$13.99,Electronics
"Hefty Ultra Strong Tall Kitchen Trash Bags, Blackout, Clean Burst, 13 Gallon, 80 Count",4.7 out of 5 stars,"34,072",$14.96,Health and Household
"Apple Watch Series 8 [GPS 41mm] Smart Watch w/ Midnight Aluminum Case with Midnight Sport Band - S/M. Fitness Tracker, Blood ",4.7 out of 5 stars,958,$345.51,Electronics
"Apple AirPods Max Wireless Over-Ear Headphones. Active Noise Cancelling, Transparency Mode, Spatial Audio, Digital Crown for ",4.6 out of 5 stars,"10,263",$499.00,Electronics
Reminders of Him: A Novel,4.7 out of 5 stars,"165,604",$9.57,Books
"Power Strip - 10 FT Long Flat Plug Extension Cord, 6 Outlets 3 USB Ports Outlet Extender with Overload Protection, Wall Mount",4.8 out of 5 stars,"3,233",$22.99,Electronics
HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt,4.7 out of 5 stars,"23,210",$197.00,Electronics
Where's Spot?,4.9 out of 5 stars,"31,412",$5.00,Books
"Lume Solid Deodorant Stick - Whole Body Deodorant - Aluminum-Free, Baking Soda-Free, Hypoallergenic, Safe For Sensitive Skin ",4.2 out of 5 stars,"15,989",$17.49,Health and Household
Our Missing Hearts: A Novel,4.3 out of 5 stars,"3,318",$14.00,Books
Llama Llama Jingle Bells,4.8 out of 5 stars,"4,093",$5.34,Books
125in Cord Hider - Yecaye One-Cord Channel Cable Concealer - Cord Cover Wall - Easy Install Cable Management System for Max 2,4.5 out of 5 stars,"11,701",$14.71,Electronics
"Optical Audio Cable, WARRKY 6ft Optical Cable [Braided, Slim Metal Case, Gold Plated Plug] Digital Audio Fiber Optic Cable To",4.7 out of 5 stars,"7,163",$8.48,Electronics
Echo Buds (2nd Gen) | True wireless earbuds with active noise cancellation and Alexa | Black,4.1 out of 5 stars,"19,096",$69.99,Electronics
"Amazon Basics 36 Pack AAA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",4.7 out of 5 stars,"473,990",$14.42,Health and Household
"Emergen-C 1000mg Vitamin C Powder for Daily Immune Support Caffeine Free Vitamin C Supplements with Zinc and Manganese, B Vit",4.8 out of 5 stars,"81,784",$9.99,Health and Household
"Amazon Halo View fitness tracker, with color display for at-a-glance access to heart rate, activity, and sleep tracking – Act",3.7 out of 5 stars,"11,238",$79.99,Health and Household
"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",4.8 out of 5 stars,"67,917",$5.99,Books
"Physician's Choice Probiotics 60 Billion CFU - 10 Diverse Strains Plus Organic Prebiotic, Designed for Overall Digestive Heal",4.5 out of 5 stars,"121,747",$21.96,Health and Household
Horse: A Novel,4.6 out of 5 stars,"11,134",$22.99,Books
"2 Pack Power Strip Surge Protector - 5 Widely Spaced Outlets 3 USB Charging Ports, 1875W/15A with 6Ft Braided Extension Cord,",4.8 out of 5 stars,"8,014",$29.99,Electronics
"Liquid I.V. Hydration Multiplier, Electrolyte Powder, Easy Open Packets, Supplement Drink Mix (Lemon Lime, 16 Count)",4.7 out of 5 stars,"98,538",$23.95,Health and Household
"DIM Supplement 200 mg | Estrogen Balance for Women & Men | Estrogen Metabolism, Hormonal Acne Supplements, Menopause Support,",4.4 out of 5 stars,"25,079",$19.95,Health and Household
2022 Apple TV 4K Wi‑Fi with 64GB Storage (3rd Generation),4.3 out of 5 stars,67,$114.99,Electronics
"USB Hub, VIENON 4-Port USB 3.0 Hub USB Splitter USB Expander for Laptop, Xbox, Flash Drive, HDD, Console, Printer, Camera,Key",4.5 out of 5 stars,248,$7.99,Electronics
The Midnight Library: A Novel,4.3 out of 5 stars,"204,113",$13.29,Books
The 7 Habits of Highly Effective People: 30th Anniversary Edition (The Covey Habits Series),4.8 out of 5 stars,"11,602",$12.26,Books
"Ring Video Doorbell Wired – Convenient, essential features in a compact design, pair with Ring Chime to hear audio alerts in ",4.5 out of 5 stars,"57,003",$29.99,Electronics
"One A Day Men’s Multivitamin, Supplement with Vitamin A, Vitamin C, Vitamin D, Vitamin E and Zinc for Immune Health Support, ",4.7 out of 5 stars,"36,454",$15.97,Health and Household
The Revolutionary: Samuel Adams,4.4 out of 5 stars,57,$19.99,Books
Llama Llama Hide & Seek: A Lift-the-Flap Book,4.8 out of 5 stars,"2,040",$5.92,Books
"Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Extra Fresh - 3",4.8 out of 5 stars,"19,848",$16.98,Health and Household
"Organic Ashwagandha 2,100 mg - 100 Vegan Capsules Pure Organic Ashwagandha Powder and Root Extract - Stress Relief, Mood Enha",4.5 out of 5 stars,"37,957",$15.95,Health and Household
The Giving Tree,4.9 out of 5 stars,"27,851",$8.14,Books
"OxiClean Versatile Stain Remover Powder, 7.22 lbs",4.8 out of 5 stars,"70,326",$18.98,Health and Household
"Poo-Pourri Before-You- go Toilet Spray, 4 Oz, Original Citrus",4.7 out of 5 stars,"149,362",$11.99,Health and Household
"Cottonelle Ultra Comfort Toilet Paper with Cushiony CleaningRipples Texture, 24 Family Mega Rolls (24 Family Mega Rolls = 108",4.8 out of 5 stars,"76,264",$21.00,Health and Household
"Fujifilm INSTAX Mini Instant Film 2 Pack = 20 Sheets (White) for Fujifilm Mini 8 & Mini 9 Cameras, Model:4332059078",4.7 out of 5 stars,"23,101",$19.61,Electronics
"Amazon Basics 12 Pack C Cell All-Purpose Alkaline Batteries, 5-Year Shelf Life, Easy to Open Value Pack",4.7 out of 5 stars,"125,282",$12.27,Health and Household
JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black,4.6 out of 5 stars,"18,803",$39.95,Electronics
"Air Wick Plug in Scented Oil Refills, Lavender and Chamomile, Eco Friendly, Essential Oils, Air Freshener, 0.67 Fl Oz, Pack o",4.7 out of 5 stars,"51,336",$18.23,Health and Household
How to Win Friends & Influence People,4.7 out of 5 stars,"75,145",$10.50,Books
"Hefty Strong Large Trash Bags, 30 Gallon, 74 Count",4.8 out of 5 stars,"30,475",$20.99,Health and Household
"SmartyPants Kids Formula Daily Gummy Multivitamin: Vitamin C, D3, and Zinc for Immunity, Gluten Free, Omega 3 Fish Oil (DHA/E",4.6 out of 5 stars,"72,534",$18.65,Health and Household
Echo Auto (1st gen) - Hands-free Alexa in your car with your phone,4.0 out of 5 stars,"149,690",$13.19,Electronics
Multivitamin Multimineral for Women Men & Kids by MaryRuth's | No Added Sugar | Vegan Liquid Vitamins for Adults & Kids | Men,4.5 out of 5 stars,"20,769",$39.95,Health and Household
"Waterpik Aquarius Water Flosser Professional For Teeth, Gums, Braces, Dental Care, Electric Power With 10 Settings, 7 Tips Fo",4.6 out of 5 stars,"112,671",$72.58,Health and Household
"Depend Fit-Flex Adult Incontinence Underwear for Women, Disposable, Maximum Absorbency, Medium, Blush, 76 Count",4.6 out of 5 stars,"10,191",$50.08,Health and Household
"Construction Site on Christmas Night: (Christmas Book for Kids, Children's Book, Holiday Picture Book) (Goodnight, Goodnight Construction Site)",4.9 out of 5 stars,"6,695",$8.49,Books
Sony BDP-BX370 Blu-ray Disc Player with built-in Wi-Fi and HDMI cable,4.4 out of 5 stars,"14,570",$74.99,Electronics
"Energizer AAA Batteries, Triple A Long-Lasting Alkaline Power Batteries, 32 Count (Pack of 1)",4.8 out of 5 stars,"3,868",$21.15,Health and Household
"Optimum Nutrition Amino Energy - Pre Workout with Green Tea, BCAA, Amino Acids, Keto Friendly, Green Coffee Extract, Energy P",4.6 out of 5 stars,"48,320",$54.03,Health and Household
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),4.8 out of 5 stars,"18,011",$8.72,Books
One Question a Day for You & Me: A Three-Year Journal: Daily Reflections for Couples,4.7 out of 5 stars,"2,392",$16.62,Books
"See, Touch, Feel: A First Sensory Book",4.8 out of 5 stars,"9,147",$7.74,Books
"NewRhythm Probiotics 50 Billion CFU 20 Strains, 60 Veggie Capsules, Targeted Release Technology, Stomach Acid Resistant, No N",4.6 out of 5 stars,"30,325",$16.99,Health and Household
"Amazon Basic Care All Day Allergy, Cetirizine Hydrochloride Tablets, 10 mg, Antihistamine, 300 Count",4.8 out of 5 stars,"45,438",$10.15,Health and Household
"Dawn Ultra Dishwashing Liquid Dish Soap (4x19.4 Fl oz) + Non-Scratch Sponge (2 Count), Original Scent",4.8 out of 5 stars,"65,920",$17.27,Health and Household
"ZEISS Pre-Moistened Lens Cleaning Wipes, 200 Count",4.7 out of 5 stars,"21,536",$21.85,Health and Household
JBL VIBE 100 TWS - True Wireless In-Ear Headphones - Blue,4.3 out of 5 stars,"7,748",$49.95,Electronics
A Light in the Flame: A Flesh and Fire Novel,4.9 out of 5 stars,84,$17.89,Books
"JBL LIVE 300, Premium True Wireless Headphone, Black",4.2 out of 5 stars,"7,425",$54.95,Electronics
You Fucking Got This : Motivational Swear Words Coloring Book: Swear Word Colouring Books for Adults: Swearing Colouring Book Pages for Stress Relief ... Funny Journals and Adult Coloring Books),4.7 out of 5 stars,"11,520",$4.99,Books
"USB Type C to 3.5mm Female Headphone Jack Adapter, JSAUX USB C to Aux Audio Dongle Cable Cord Compatible with Samsung Galaxy ",4.6 out of 5 stars,"22,113",$8.98,Electronics
